client,number_of_executed_transactions,total_transaction_execution_time,transaction_throughput,average_transaction_latency,95th_percentile_transaction_latency,99th_percentile_transaction_latency
5.txt,5253,3968.81,1.32,755.52,2322.3,2547.58
0.txt,8132,5452.73,1.49,670.52,2198.42,2455.67
14.txt,7085,5695.16,1.24,803.81,2306.49,2527.77
8.txt,6605,6091.13,1.08,922.19,2589.24,2998.08
9.txt,10862,6502.98,1.67,598.68,1912.87,2354.32
4.txt,13083,6567.17,1.99,501.95,1899.73,2336.75
15.txt,11643,6587.87,1.77,565.81,1571.87,2373.86
12.txt,8762,6585.53,1.33,751.59,2419.23,2801.81
19.txt,33805,7102.43,4.76,210.08,819.63,2270.18
3.txt,10224,7413.71,1.38,725.11,2379.67,2890.43
18.txt,11034,7496.23,1.47,679.36,2357.41,2997.76
7.txt,11070,7536.59,1.47,680.8,2510.03,2943.5
1.txt,25239,7746.98,3.26,306.93,1061.76,2659.61
10.txt,42208,7811.57,5.4,185.06,667.56,1990.49
13.txt,14307,8090.58,1.77,565.49,1665.33,2579.39
11.txt,46437,8320.39,5.58,179.16,721.6,1131.5
6.txt,13121,9061.86,1.45,690.63,2489.43,2852.07
17.txt,67372,9287.68,7.25,137.84,319.84,1128.88
2.txt,16038,9553.76,1.68,595.68,2429.68,2960.36
16.txt,70682,10497.67,6.73,148.51,346.8,1056.22
